Rural population (% of total population),Rural population growth (annual %),Rural population,Cereal yield (kg per hectare),Surface area (sq. km),Livestock production index (2014-2016 = 100),Food production index (2014-2016 = 100),Crop production index (2014-2016 = 100),Cereal production (metric tons),Land area (sq. km),Country
54.816,0.25781124826960655,1550525.0,5875.043333333334,70280.0,79.04899999999999,80.93450000000003,96.24499999999998,1889469.8,68890.0,Ireland
54.607,-0.530580695032496,1542320.0,3141.5,70280.0,42.56,50.53,115.94,1367919.0,68890.0,Ireland
54.397,0.0263205153079681,1542726.0,3330.8,70280.0,40.86,49.13,117.27,1439216.0,68890.0,Ireland
54.187,0.196795197447252,1545765.0,3125.6,70280.0,42.1,49.16,107.69,1258816.0,68890.0,Ireland
53.977,0.0978324660004224,1547278.0,2929.2,70280.0,44.41,49.28,90.2,1136399.0,68890.0,Ireland
53.767,-0.0155123135763239,1547038.0,3111.2,70280.0,43.21,48.6,93.86,1173711.0,68890.0,Ireland
53.363,-0.355373120381476,1541550.0,3270.0,70280.0,45.55,50.54,92.41,1107600.0,68890.0,Ireland
52.205,-1.72251209396852,1515224.0,3563.8,70280.0,52.12,57.38,100.3,1269300.0,68890.0,Ireland
51.044,-1.79872114894701,1488213.0,4002.5,70280.0,51.4,57.03,102.83,1450800.0,68890.0,Ireland
49.885,-1.71197591241161,1462952.0,3920.2,70280.0,51.16,56.14,96.57,1403200.0,68890.0,Ireland
48.724,-1.51953339779923,1440890.0,3633.8,70280.0,50.71,55.85,97.68,1371000.0,68890.0,Ireland
47.731,-0.889158096168996,1428135.0,4090.2,70280.0,56.99,61.96,102.43,1580400.0,68890.0,Ireland
47.389,0.767145166551928,1439133.0,3846.7,70280.0,55.66,58.97,86.23,1431400.0,68890.0,Ireland
47.048,0.881704190436726,1451878.0,3690.0,70280.0,52.92,57.2,92.2,1296500.0,68890.0,Ireland
46.706,0.92710343170397,1465401.0,4140.7,70280.0,61.24,64.13,87.69,1440900.0,68890.0,Ireland
46.366,0.914732890866134,1478867.0,4070.2,70280.0,71.39,73.2,87.5,1379700.0,68890.0,Ireland
46.025,0.770991095076639,1490313.0,3581.5,70280.0,62.57,65.71,90.93,1253000.0,68890.0,Ireland
45.685,0.612754803236111,1499473.0,4920.8,70280.0,68.65,74.16,117.12,1833000.0,68890.0,Ireland
45.345,0.671775339896433,1509580.0,4558.6,70280.0,74.82,77.68,99.38,1768000.0,68890.0,Ireland
45.006,0.581909653018539,1518390.0,4778.7,70280.0,71.3,74.29,99.02,1916000.0,68890.0,Ireland
44.667,0.394704706121509,1524395.0,4650.5,70280.0,78.74,81.25,100.39,2064800.0,68890.0,Ireland
44.366,0.494904576581361,1531958.0,4771.1,70280.0,68.14,71.11,94.78,2046800.0,68890.0,Ireland
44.206,0.584142133290773,1540933.0,5279.3,70280.0,72.3,76.39,107.6,2177700.0,68890.0,Ireland
44.045,0.344068722943063,1546244.0,5035.9,70280.0,78.1,79.8,92.43,1990700.0,68890.0,Ireland
43.885,0.255777081283014,1550204.0,6179.4,70280.0,82.12,86.01,115.16,2513800.0,68890.0,Ireland
43.725,-0.205215700177598,1547026.0,5238.2,70280.0,85.54,86.88,96.1,2095800.0,68890.0,Ireland
43.573,-0.302779919761054,1542349.0,5363.0,70280.0,89.21,89.35,89.14,1954800.0,68890.0,Ireland
43.447,-0.279184884096151,1538049.0,6286.3,70280.0,85.51,87.03,98.51,2107800.0,68890.0,Ireland
43.322,-0.715862465178796,1527078.0,6411.0,70280.0,82.86,84.32,96.44,2077800.0,68890.0,Ireland
43.196,-0.687522770160037,1516615.0,5996.3,70280.0,81.06,81.91,90.31,1918800.0,68890.0,Ireland
43.071,-0.205338542354242,1513504.0,6577.4,70280.0,90.35,90.78,96.18,1965820.0,68890.0,Ireland
42.927,0.240015029538506,1517141.0,6521.0,70280.0,89.04,89.52,95.91,1968048.0,68890.0,Ireland
42.707,0.168464628032692,1519699.0,6741.2,70280.0,90.24,91.31,99.99,2025771.0,68890.0,Ireland
42.488,-0.0142801630023803,1519482.0,5728.1,70280.0,88.27,87.96,85.91,1633159.0,68890.0,Ireland
42.269,-0.122616904752731,1517620.0,5988.3,70280.0,83.06,83.93,91.47,1618110.0,68890.0,Ireland
